rt/ur/Depa,va/l /Arri,,,
1/7/2007,1/7/2007,,,
1/12/2007,1/12/2007,,,
1/16/2007,1/16/2007,,,
1/17/2007,1/17/2007,,,1/12/2007
1/20/2007,1/20/2007,,,1/16/2007
1/27/2007,1/27/2007,,,1/17/2007
1/27/2007,1/27/2007,,,1/20/2007
1/31/2007,2/1/2007,,,1/27/2007
2/12/2007,2/12/2007,,,1/27/2007
2/13/2007,2/13/2007,,,1/31/2007
2/15/2007,2/15/2007,,,2/12/2007
2/20/2007,2/20/2007,,,2/13/2007
2/20/2007,2/20/2007,,,2/15/2007
2/22/2007,2/23/2007,,,2/20/2007
2/27/2007,2/27/2007,,,
2/27/2007,2/27/2007,,,
3/2/2007,3/2/2007,,,
3/11/2007,3/11/2007,,,
3/16/2007,3/16/2007,,,
3/20/2007,3/20/2007,,,
3/20/2007,3/20/2007,,,
3/23/2007,3/24/2007,,,
4/2/2007,4/2/2007,,,
4/6/2007,4/6/2007,,,
4/10/2007,4/10/2007,,,
4/12/2007,4/13/2007,,,
4/18/2007,4/19/2007,,,
4/25/2007,4/26/2007,,,
5/1/2007,5/1/2007,,,
5/4/2007,5/4/2007,,,
5/8/2007,5/8/2007,,,
5/8/2007,5/8/2007,,,
5/10/2007,5/10/2007,,,
5/14/2007,5/14/2007,,,
5/15/2007,5/16/2007,,,
5/17/2007,5/17/2007,,,
5/18/2007,5/19/2007,,,
5/28/2007,5/28/2007,,,
6/1/2007,6/1/2007,,,
6/5/2007,6/5/2007,,,
6/8/2007,6/8/2007,,,
6/12/2007,6/12/2007,,,
6/19/2007,6/20/2007,,,
6/22/2007,6/23/2007,,,
6/23/2007,6/23/2007,,,
6/25/2007,6/25/2007,,,
6/26/2007,6/26/2007,,,
6/28/2007,6/28/2007,,,
7/2/2007,7/3/2007,,,
7/9/2007,7/9/2007,,,
7/12/2007,7/12/2007,,,
7/17/2007,7/17/2007,,,
7/20/2007,7/20/2007,,,
7/20/2007,7/20/2007,,,
7/21/2007,7/22/2007,,,
